node_1,node_2
0,3
1,3
2,3
4,13
5,10
5,9
5,7
6,7
6,13
7,13
8,13
9,13
10,4
10,13
11,10
12,7
12,13
14,17
14,15
14,18
19,16
20,3
21,54
22,54
23,54
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,54
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,54
43,3
44,54
45,54
46,54
46,3
47,3
48,53
49,3
50,3
51,54
52,54
54,56
55,3
55,54
