0,82
1,4
1,33
1,24
1,81
1,118
1,119
1,22
3,2
3,2
4,1
4,33
4,24
4,62
4,119
4,159
5,107
5,119
6,31
6,33
6,24
6,81
6,82
6,108
6,118
6,119
6,120
6,159
6,22
7,31
7,24
7,81
7,82
7,144
8,4
8,31
8,32
8,33
8,52
8,24
8,62
8,64
8,65
8,81
8,82
8,112
8,114
8,118
8,119
8,120
8,143
8,159
8,22
9,24
9,119
9,120
10,4
10,6
10,8
10,31
10,33
10,34
10,24
10,64
10,79
10,81
10,82
10,108
10,110
10,112
10,118
10,119
10,120
10,151
10,159
10,22
10,153
11,0
11,31
11,33
11,24
11,64
11,82
11,119
11,120
11,120
2,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
21,20
22,20
23,20
25,24
25,33
25,24
26,33
26,107
27,24
27,28
27,30
28,24
28,24
28,81
28,107
28,112
28,119
28,27
29,24
29,81
29,107
29,119
29,27
30,24
30,27
31,24
31,110
31,117
31,120
31,144
31,157
31,22
31,82
31,144
32,31
32,24
32,54
32,62
32,82
32,118
32,119
32,120
32,159
33,6
33,31
33,24
33,82
33,112
33,118
33,119
33,143
33,160
33,89
33,6
33,143
34,4
34,31
34,33
34,24
34,62
34,82
34,110
34,118
34,119
35,31
35,32
35,33
35,24
35,82
35,119
35,120
36,37
37,38
37,40
37,42
37,43
37,43
38,37
38,40
38,47
38,47
44,37
44,38
44,39
44,40
44,41
44,42
44,43
44,45
44,46
44,49
44,42
45,39
45,40
45,42
46,39
46,42
46,43
46,45
48,38
48,40
49,42
50,118
51,4
51,6
51,31
51,33
51,24
51,81
51,82
51,111
51,118
51,119
51,150
52,118
53,31
53,33
53,24
53,79
53,82
53,118
53,120
53,22
54,32
54,50
54,52
54,24
54,81
54,108
54,112
54,119
54,155
54,156
55,24
56,24
57,119
57,60
58,24
59,24
60,57
60,57
61,24
62,4
62,31
62,33
62,24
62,64
62,82
62,114
62,117
62,118
62,119
62,22
63,33
63,24
63,81
63,118
63,119
63,143
64,4
64,31
64,24
64,62
64,108
64,119
64,120
64,144
64,11
65,24
65,81
65,119
65,143
65,199
67,66
67,107
67,116
68,66
68,107
68,116
69,66
69,107
69,112
69,116
70,66
