41,0,16,1,25,11,7,19,33,18,52,150,0.17,5.88,882.35,0.05,49.02,2,1,2,1,0,2,0.08,1.0,2,1.0,0.05,0,0
166,6,20,1,140,223,24,504,597,247,1101,6065,0.04,25.0,151625.0,2.02,8423.61,38,19,13,18,8,12,0.09,1.06,13,1.08,0.07,0,0
382,34,74,1,274,266,25,573,676,291,1249,7085,0.04,25.0,177125.0,2.36,9840.28,50,25,135,20,4,22,0.08,1.25,135,6.14,0.06,0,0
83,0,17,1,66,25,17,84,109,42,193,721,0.04,25.0,18025.0,0.24,1001.39,22,11,9,9,1,11,0.17,1.22,9,0.82,0.13,0,0
141,0,16,1,125,84,21,254,317,105,571,2657,0.03,33.33,88566.67,0.89,4920.37,114,57,26,57,4,51,0.41,1.0,26,0.51,0.36,0,0
1621,73,206,1,1342,300,45,2438,3395,345,5833,34085,0.01,100.0,3408500.0,11.36,189361.11,344,172,148,117,22,138,0.1,1.47,148,1.07,0.09,0,0
53,0,16,1,37,24,17,77,107,41,184,683,0.04,25.0,17075.0,0.23,948.61,12,6,1,3,1,6,0.16,2.0,1,0.17,0.11,0,1
362,17,23,1,322,122,25,454,616,147,1070,5339,0.02,50.0,266950.0,1.78,14830.56,112,56,59,56,10,38,0.12,1.0,59,1.55,0.1,0,0
161,17,38,1,106,79,18,191,235,97,426,1948,0.05,20.0,38960.0,0.65,2164.44,16,8,18,4,0,9,0.08,2.0,18,2.0,0.06,0,1
215,12,40,1,163,110,20,495,558,130,1053,5125,0.02,50.0,256250.0,1.71,14236.11,34,17,77,6,3,15,0.09,2.83,77,5.13,0.07,0,0
38,0,16,1,22,16,8,26,33,24,59,187,0.15,6.67,1246.67,0.06,69.26,0,0,6,0,0,1,0.05,0.0,6,6.0,0.03,0,0
294,8,41,1,245,121,29,386,544,150,930,4659,0.02,50.0,232950.0,1.55,12941.67,106,53,69,49,9,42,0.17,1.08,69,1.64,0.14,0,1
209,18,26,1,165,89,27,256,405,116,661,3142,0.03,33.33,104733.33,1.05,5818.52,68,34,20,32,6,29,0.18,1.06,20,0.69,0.14,0,0
237,26,32,1,179,114,28,346,418,142,764,3786,0.02,50.0,189300.0,1.26,10516.67,30,15,67,11,1,15,0.08,1.36,67,4.47,0.06,0,1
223,17,37,1,169,45,26,470,590,71,1060,4518,0.01,100.0,451800.0,1.51,25100.0,88,44,24,34,6,39,0.23,1.29,24,0.62,0.17,0,0
269,52,38,1,179,175,27,474,533,202,1007,5345,0.03,33.33,178166.67,1.78,9898.15,14,7,96,3,0,8,0.04,2.33,96,12.0,0.03,0,0
97,20,36,1,41,22,11,73,71,33,144,503,0.05,20.0,10060.0,0.17,558.89,12,6,2,4,2,3,0.07,1.5,2,0.67,0.03,0,0
47,2,4,1,41,25,21,50,79,46,129,493,0.05,20.0,9860.0,0.16,547.78,14,7,1,4,2,4,0.1,1.75,1,0.25,0.09,0,0
75,0,32,1,43,29,12,50,88,41,138,512,0.1,10.0,5120.0,0.17,284.44,22,11,5,4,1,11,0.26,2.75,5,0.45,0.15,0,0
452,52,48,1,352,161,33,667,842,194,1509,7949,0.01,100.0,794900.0,2.65,44161.11,114,57,84,55,12,43,0.12,1.04,84,1.95,0.1,0,0
565,85,44,1,436,135,37,1136,1479,172,2615,13460,0.01,100.0,1346000.0,4.49,74777.78,130,65,50,57,3,62,0.14,1.14,50,0.81,0.11,0,0
110,0,39,1,71,39,19,95,122,58,217,881,0.04,25.0,22025.0,0.29,1223.61,8,4,18,3,2,1,0.01,1.33,18,18.0,0.01,0,0
83,2,17,1,64,72,18,158,168,90,326,1466,0.05,20.0,29320.0,0.49,1628.89,8,4,13,1,0,5,0.08,4.0,13,2.6,0.06,0,0
95,7,16,1,72,28,14,58,108,42,166,620,0.07,14.29,8857.14,0.21,492.06,16,8,11,8,0,9,0.13,1.0,11,1.22,0.09,0,0
